Handle,Variant SKU,Title,Vendor,Product Type,Variant Price,Cost per item,Compare At Price,Variant Barcode,Weight,Weight Unit,Dimensions,Variant Inventory Qty,Stock Status,Published,Variant Taxable,Image Src,Body (HTML),Tags,Updated At,Supplier Ref
tote-nw-1453,NW-1453,cylindrical tote,KESTREL & CO.,Workshop,49.99,20.00,,5060001203683,500 g,,1.2 x 0.4 x 0.4 m,3,instock,yes,1,https://cdn.example-supplier.test/img/nw-1453.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T07:30:00Z,NW/0151
hand-plane-nw-1456,NW-1456,Four Pocket Hand Plane,Marrow Tool Works Ltd,Outdoor,"  18,50  ",7.40,24.05,5060001211602,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,1,N,https://cdn.example-supplier.test/img/nw-1456.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T08:30:00Z,NW/0152
tea-caddy-nw-1459,NW-1459,GRIDDED TEA CADDY,pennyroyal,Hand Tools,USD 45.50,18.20,,5060001219523,12 oz,,300mm x 200mm x 100mm,0,Back-Order,N,false,https://cdn.example-supplier.test/img/nw-1459.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T00:30:00Z,NW/0153
ledger-nw-1462,NW-1462,oak handled ledger,salt marsh supply,Kitchen,$7.25,2.90,,5060001227443,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,false,TRUE,https://cdn.example-supplier.test/img/nw-1462.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T01:30:00Z,NW/0154
fender-nw-1465,NW-1465,Heavyweight Fender,Vellum,Stationery,"1.299,00",519.60,,5060001235363,340,g,1.2 x 0.4 x 0.4 m,0,Discontinued,TRUE,yes,//cdn.example-supplier.test/img/nw-1465.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T02:30:00Z,NW/0155
mallet-nw-1468,NW-1468,RUBBER FACED MALLET,HARBOURLINE OUTFITTERS,Marine,"$1,299.00",519.60,1688.70,5060001243283,2.5,kg,12 x 8 x 4 in,14,In Stock,yes,1,https://cdn.example-supplier.test/img/nw-1468.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T03:30:00Z,NW/0156
colander-nw-1471,NW-1471,stackable colander,KESTREL & CO.,Storage,49.99,20.00,,5060001251202,500 g,,300mm x 200mm x 100mm,3,instock,1,N,https://cdn.example-supplier.test/img/nw-1471.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T04:30:00Z,NW/0157
sketchbook-nw-1474,NW-1474,Stainless Sketchbook,Marrow Tool Works Ltd,Lighting,"  18,50  ",7.40,,5060001259123,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,N,false,https://cdn.example-supplier.test/img/nw-1474.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T05:30:00Z,NW/0158
bilge-pump-nw-1477,NW-1477,ENAMELLED BILGE PUMP,pennyroyal,Workshop,USD 45.50,18.20,,5060001267043,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,false,TRUE,https://cdn.example-supplier.test/img/nw-1477.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T06:30:00Z,NW/0159
tool-roll-nw-1480,NW-1480,bevel edge tool roll,salt marsh supply,Outdoor,$7.25,2.90,9.43,5060001274959,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,TRUE,yes,//cdn.example-supplier.test/img/nw-1480.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T07:30:00Z,NW/0160
crate-nw-1483,NW-1483,Perforated Crate,Vellum,Hand Tools,"1.299,00",519.60,,5060001282879,340,g,300mm x 200mm x 100mm,0,Discontinued,yes,1,https://cdn.example-supplier.test/img/nw-1483.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T08:30:00Z,NW/0161
head-torch-nw-1486,NW-1486,USB-C RECHARGEABLE HEAD TORCH,HARBOURLINE OUTFITTERS,Kitchen,"$1,299.00",519.60,,5060001290799,2.5,kg,30 × 20 × 10 cm,14,In Stock,1,N,https://cdn.example-supplier.test/img/nw-1486.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T00:30:00Z,NW/0162
bench-hook-nw-1489,NW-1489,lidded bench hook,KESTREL & CO.,Stationery,49.99,20.00,,5060001298719,500 g,,1.2 x 0.4 x 0.4 m,3,instock,N,false,https://cdn.example-supplier.test/img/nw-1489.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T01:30:00Z,NW/0163
butter-dish-nw-1492,NW-1492,Ruled A5 Butter Dish,Marrow Tool Works Ltd,Marine,"  18,50  ",7.40,24.05,5060001306636,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,false,TRUE,https://cdn.example-supplier.test/img/nw-1492.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T02:30:00Z,NW/0164
index-cards-nw-1495,NW-1495,AIRTIGHT INDEX CARDS,pennyroyal,Storage,USD 45.50,18.20,,5060001314556,12 oz,,300mm x 200mm x 100mm,0,Back-Order,TRUE,yes,//cdn.example-supplier.test/img/nw-1495.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T03:30:00Z,NW/0165
cleat-nw-1498,NW-1498,hardback cleat,salt marsh supply,Lighting,$7.25,2.90,,5060001322476,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,yes,1,https://cdn.example-supplier.test/img/nw-1498.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T04:30:00Z,NW/0166
bin-nw-1501,NW-1501,Beech Bin,Vellum,Workshop,"1.299,00",519.60,,5060001330396,340,g,1.2 x 0.4 x 0.4 m,0,Discontinued,1,N,https://cdn.example-supplier.test/img/nw-1501.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T05:30:00Z,NW/0167
lantern-nw-1504,NW-1504,BRASS LANTERN,HARBOURLINE OUTFITTERS,Outdoor,"$1,299.00",519.60,1688.70,5060001338316,2.5,kg,12 x 8 x 4 in,14,In Stock,N,false,https://cdn.example-supplier.test/img/nw-1504.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T06:30:00Z,NW/0168
dry-bag-nw-1507,NW-1507,stiff bristle dry bag,KESTREL & CO.,Hand Tools,49.99,20.00,,5060001346236,500 g,,300mm x 200mm x 100mm,3,instock,false,TRUE,https://cdn.example-supplier.test/img/nw-1507.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T07:30:00Z,NW/0169
chisel-nw-1510,NW-1510,Cloth Bound Chisel,Marrow Tool Works Ltd,Kitchen,"  18,50  ",7.40,,5060001354149,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,TRUE,yes,//cdn.example-supplier.test/img/nw-1510.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T08:30:00Z,NW/0170
mixing-bowl-nw-1513,NW-1513,MANUAL 12V MIXING BOWL,pennyroyal,Stationery,USD 45.50,18.20,,5060001362069,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,yes,1,https://cdn.example-supplier.test/img/nw-1513.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T00:30:00Z,NW/0171
notebook-nw-1516,NW-1516,stoneware notebook,salt marsh supply,Marine,$7.25,2.90,9.43,5060001369983,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,1,N,https://cdn.example-supplier.test/img/nw-1516.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T01:30:00Z,NW/0172
deck-brush-nw-1519,NW-1519,Waxed Canvas Deck Brush,Vellum,Storage,"1.299,00",519.60,,5060001377902,340,g,300mm x 200mm x 100mm,0,Discontinued,N,false,https://cdn.example-supplier.test/img/nw-1519.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T02:30:00Z,NW/0173
rope-ladder-nw-1522,NW-1522,BRAIDED 9M ROPE LADDER,HARBOURLINE OUTFITTERS,Lighting,"$1,299.00",519.60,,5060001385822,2.5,kg,30 × 20 × 10 cm,14,In Stock,false,TRUE,https://cdn.example-supplier.test/img/nw-1522.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T03:30:00Z,NW/0174
tote-nw-1525,NW-1525,cylindrical tote,KESTREL & CO.,Workshop,49.99,20.00,,5060001393742,500 g,,1.2 x 0.4 x 0.4 m,3,instock,TRUE,yes,//cdn.example-supplier.test/img/nw-1525.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T04:30:00Z,NW/0175
hand-plane-nw-1528,NW-1528,Four Pocket Hand Plane,Marrow Tool Works Ltd,Outdoor,"  18,50  ",7.40,24.05,5060001401669,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,yes,1,https://cdn.example-supplier.test/img/nw-1528.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T05:30:00Z,NW/0176
tea-caddy-nw-1531,NW-1531,GRIDDED TEA CADDY,pennyroyal,Hand Tools,USD 45.50,18.20,,5060001409580,12 oz,,300mm x 200mm x 100mm,0,Back-Order,1,N,https://cdn.example-supplier.test/img/nw-1531.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T06:30:00Z,NW/0177
ledger-nw-1534,NW-1534,oak handled ledger,salt marsh supply,Kitchen,$7.25,2.90,,5060001417509,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,N,false,https://cdn.example-supplier.test/img/nw-1534.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T07:30:00Z,NW/0178
fender-nw-1537,NW-1537,Heavyweight Fender,Vellum,Stationery,"1.299,00",519.60,,5060001425429,340,g,1.2 x 0.4 x 0.4 m,0,Discontinued,false,TRUE,https://cdn.example-supplier.test/img/nw-1537.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T08:30:00Z,NW/0179
mallet-nw-1540,NW-1540,RUBBER FACED MALLET,HARBOURLINE OUTFITTERS,Marine,"$1,299.00",519.60,1688.70,5060001433332,2.5,kg,12 x 8 x 4 in,14,In Stock,TRUE,yes,//cdn.example-supplier.test/img/nw-1540.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T00:30:00Z,NW/0180
colander-nw-1543,NW-1543,stackable colander,KESTREL & CO.,Storage,49.99,20.00,,5060001441252,500 g,,300mm x 200mm x 100mm,3,instock,yes,1,https://cdn.example-supplier.test/img/nw-1543.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T01:30:00Z,NW/0181
sketchbook-nw-1546,NW-1546,Stainless Sketchbook,Marrow Tool Works Ltd,Lighting,"  18,50  ",7.40,,5060001449173,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,1,N,https://cdn.example-supplier.test/img/nw-1546.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T02:30:00Z,NW/0182
bilge-pump-nw-1549,NW-1549,ENAMELLED BILGE PUMP,pennyroyal,Workshop,USD 45.50,18.20,,5060001457093,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,N,false,https://cdn.example-supplier.test/img/nw-1549.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T03:30:00Z,NW/0183
tool-roll-nw-1552,NW-1552,bevel edge tool roll,salt marsh supply,Outdoor,$7.25,2.90,9.43,5060001465012,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,false,TRUE,https://cdn.example-supplier.test/img/nw-1552.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T04:30:00Z,NW/0184
crate-nw-1555,NW-1555,Perforated Crate,Vellum,Hand Tools,"1.299,00",519.60,,5060001472935,340,g,300mm x 200mm x 100mm,0,Discontinued,TRUE,yes,//cdn.example-supplier.test/img/nw-1555.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T05:30:00Z,NW/0185
head-torch-nw-1558,NW-1558,USB-C RECHARGEABLE HEAD TORCH,HARBOURLINE OUTFITTERS,Kitchen,"$1,299.00",519.60,,5060001480855,2.5,kg,30 × 20 × 10 cm,14,In Stock,yes,1,https://cdn.example-supplier.test/img/nw-1558.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T06:30:00Z,NW/0186
bench-hook-nw-1561,NW-1561,lidded bench hook,KESTREL & CO.,Stationery,49.99,20.00,,5060001488776,500 g,,1.2 x 0.4 x 0.4 m,3,instock,1,N,https://cdn.example-supplier.test/img/nw-1561.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T07:30:00Z,NW/0187
butter-dish-nw-1564,NW-1564,Ruled A5 Butter Dish,Marrow Tool Works Ltd,Marine,"  18,50  ",7.40,24.05,5060001496696,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,N,false,https://cdn.example-supplier.test/img/nw-1564.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T08:30:00Z,NW/0188
index-cards-nw-1567,NW-1567,AIRTIGHT INDEX CARDS,pennyroyal,Storage,USD 45.50,18.20,,5060001504612,12 oz,,300mm x 200mm x 100mm,0,Back-Order,false,TRUE,https://cdn.example-supplier.test/img/nw-1567.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T00:30:00Z,NW/0189
cleat-nw-1570,NW-1570,hardback cleat,salt marsh supply,Lighting,$7.25,2.90,,5060001512525,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,TRUE,yes,//cdn.example-supplier.test/img/nw-1570.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T01:30:00Z,NW/0190
bin-nw-1573,NW-1573,Beech Bin,Vellum,Workshop,"1.299,00",519.60,,5060001520445,340,g,1.2 x 0.4 x 0.4 m,0,Discontinued,yes,1,https://cdn.example-supplier.test/img/nw-1573.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T02:30:00Z,NW/0191
lantern-nw-1576,NW-1576,BRASS LANTERN,HARBOURLINE OUTFITTERS,Outdoor,"$1,299.00",519.60,1688.70,5060001528366,2.5,kg,12 x 8 x 4 in,14,In Stock,1,N,https://cdn.example-supplier.test/img/nw-1576.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T03:30:00Z,NW/0192
dry-bag-nw-1579,NW-1579,stiff bristle dry bag,KESTREL & CO.,Hand Tools,49.99,20.00,,5060001536286,500 g,,300mm x 200mm x 100mm,3,instock,N,false,https://cdn.example-supplier.test/img/nw-1579.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T04:30:00Z,NW/0193
chisel-nw-1582,NW-1582,Cloth Bound Chisel,Marrow Tool Works Ltd,Kitchen,"  18,50  ",7.40,,5060001544205,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,false,TRUE,https://cdn.example-supplier.test/img/nw-1582.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T05:30:00Z,NW/0194
mixing-bowl-nw-1585,NW-1585,MANUAL 12V MIXING BOWL,pennyroyal,Stationery,USD 45.50,18.20,,5060001552125,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,TRUE,yes,//cdn.example-supplier.test/img/nw-1585.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T06:30:00Z,NW/0195
notebook-nw-1588,NW-1588,stoneware notebook,salt marsh supply,Marine,$7.25,2.90,9.43,5060001560045,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,yes,1,https://cdn.example-supplier.test/img/nw-1588.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T07:30:00Z,NW/0196
deck-brush-nw-1591,NW-1591,Waxed Canvas Deck Brush,Vellum,Storage,"1.299,00",519.60,,5060001567969,340,g,300mm x 200mm x 100mm,0,Discontinued,1,N,https://cdn.example-supplier.test/img/nw-1591.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T08:30:00Z,NW/0197
rope-ladder-nw-1594,NW-1594,BRAIDED 9M ROPE LADDER,HARBOURLINE OUTFITTERS,Lighting,"$1,299.00",519.60,,5060001575889,2.5,kg,30 × 20 × 10 cm,14,In Stock,N,false,https://cdn.example-supplier.test/img/nw-1594.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T00:30:00Z,NW/0198
tote-nw-1597,NW-1597,cylindrical tote,KESTREL & CO.,Workshop,49.99,20.00,,5060001583808,500 g,,1.2 x 0.4 x 0.4 m,3,instock,false,TRUE,https://cdn.example-supplier.test/img/nw-1597.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T01:30:00Z,NW/0199
hand-plane-nw-1600,NW-1600,Four Pocket Hand Plane,Marrow Tool Works Ltd,Outdoor,"  18,50  ",7.40,24.05,5060001591711,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,TRUE,yes,//cdn.example-supplier.test/img/nw-1600.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T02:30:00Z,NW/0200
tea-caddy-nw-1603,NW-1603,GRIDDED TEA CADDY,pennyroyal,Hand Tools,USD 45.50,18.20,,5060001599632,12 oz,,300mm x 200mm x 100mm,0,Back-Order,yes,1,https://cdn.example-supplier.test/img/nw-1603.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T03:30:00Z,NW/0201
ledger-nw-1606,NW-1606,oak handled ledger,salt marsh supply,Kitchen,$7.25,2.90,,5060001607559,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,1,N,https://cdn.example-supplier.test/img/nw-1606.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T04:30:00Z,NW/0202
fender-nw-1609,NW-1609,Heavyweight Fender,Vellum,Stationery,"1.299,00",519.60,,5060001615479,340,g,1.2 x 0.4 x 0.4 m,0,Discontinued,N,false,https://cdn.example-supplier.test/img/nw-1609.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T05:30:00Z,NW/0203
mallet-nw-1612,NW-1612,RUBBER FACED MALLET,HARBOURLINE OUTFITTERS,Marine,"$1,299.00",519.60,1688.70,5060001623399,2.5,kg,12 x 8 x 4 in,14,In Stock,false,TRUE,https://cdn.example-supplier.test/img/nw-1612.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T06:30:00Z,NW/0204
colander-nw-1615,NW-1615,stackable colander,KESTREL & CO.,Storage,49.99,20.00,,5060001631318,500 g,,300mm x 200mm x 100mm,3,instock,TRUE,yes,//cdn.example-supplier.test/img/nw-1615.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T07:30:00Z,NW/0205
sketchbook-nw-1618,NW-1618,Stainless Sketchbook,Marrow Tool Works Ltd,Lighting,"  18,50  ",7.40,,5060001639239,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,yes,1,https://cdn.example-supplier.test/img/nw-1618.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T08:30:00Z,NW/0206
bilge-pump-nw-1621,NW-1621,ENAMELLED BILGE PUMP,pennyroyal,Workshop,USD 45.50,18.20,,5060001647159,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,1,N,https://cdn.example-supplier.test/img/nw-1621.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T00:30:00Z,NW/0207
tool-roll-nw-1624,NW-1624,bevel edge tool roll,salt marsh supply,Outdoor,$7.25,2.90,9.43,5060001655079,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,N,false,https://cdn.example-supplier.test/img/nw-1624.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T01:30:00Z,NW/0208
crate-nw-1627,NW-1627,Perforated Crate,Vellum,Hand Tools,"1.299,00",519.60,,5060001662992,340,g,300mm x 200mm x 100mm,0,Discontinued,false,TRUE,https://cdn.example-supplier.test/img/nw-1627.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T02:30:00Z,NW/0209
head-torch-nw-1630,NW-1630,USB-C RECHARGEABLE HEAD TORCH,HARBOURLINE OUTFITTERS,Kitchen,"$1,299.00",519.60,,5060001670904,2.5,kg,30 × 20 × 10 cm,14,In Stock,TRUE,yes,//cdn.example-supplier.test/img/nw-1630.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T03:30:00Z,NW/0210
bench-hook-nw-1633,NW-1633,lidded bench hook,KESTREL & CO.,Stationery,49.99,20.00,,5060001678825,500 g,,1.2 x 0.4 x 0.4 m,3,instock,yes,1,https://cdn.example-supplier.test/img/nw-1633.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T04:30:00Z,NW/0211
butter-dish-nw-1636,NW-1636,Ruled A5 Butter Dish,Marrow Tool Works Ltd,Marine,"  18,50  ",7.40,24.05,5060001686745,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,1,N,https://cdn.example-supplier.test/img/nw-1636.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T05:30:00Z,NW/0212
index-cards-nw-1639,NW-1639,AIRTIGHT INDEX CARDS,pennyroyal,Storage,USD 45.50,18.20,,5060001694665,12 oz,,300mm x 200mm x 100mm,0,Back-Order,N,false,https://cdn.example-supplier.test/img/nw-1639.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T06:30:00Z,NW/0213
cleat-nw-1642,NW-1642,hardback cleat,salt marsh supply,Lighting,$7.25,2.90,,5060001702582,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,false,TRUE,https://cdn.example-supplier.test/img/nw-1642.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T07:30:00Z,NW/0214
bin-nw-1645,NW-1645,Beech Bin,Vellum,Workshop,"1.299,00",519.60,,5060001710501,340,g,1.2 x 0.4 x 0.4 m,0,Discontinued,TRUE,yes,//cdn.example-supplier.test/img/nw-1645.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T08:30:00Z,NW/0215
lantern-nw-1648,NW-1648,BRASS LANTERN,HARBOURLINE OUTFITTERS,Outdoor,"$1,299.00",519.60,1688.70,5060001718422,2.5,kg,12 x 8 x 4 in,14,In Stock,yes,1,https://cdn.example-supplier.test/img/nw-1648.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T00:30:00Z,NW/0216
dry-bag-nw-1651,NW-1651,stiff bristle dry bag,KESTREL & CO.,Hand Tools,49.99,20.00,,5060001726342,500 g,,300mm x 200mm x 100mm,3,instock,1,N,https://cdn.example-supplier.test/img/nw-1651.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T01:30:00Z,NW/0217
chisel-nw-1654,NW-1654,Cloth Bound Chisel,Marrow Tool Works Ltd,Kitchen,"  18,50  ",7.40,,5060001734262,1.1lb,,30 × 20 × 10 cm,0,OUT OF STOCK,N,false,https://cdn.example-supplier.test/img/nw-1654.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T02:30:00Z,NW/0218
mixing-bowl-nw-1657,NW-1657,MANUAL 12V MIXING BOWL,pennyroyal,Stationery,USD 45.50,18.20,,5060001742182,12 oz,,1.2 x 0.4 x 0.4 m,0,Back-Order,false,TRUE,https://cdn.example-supplier.test/img/nw-1657.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","stationery, catalogue",2026-09-04T03:30:00Z,NW/0219
notebook-nw-1660,NW-1660,stoneware notebook,salt marsh supply,Marine,$7.25,2.90,9.43,5060001750095,"0,75 kg",,12 x 8 x 4 in,0,Pre-Order,TRUE,yes,//cdn.example-supplier.test/img/nw-1660.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"marine, catalogue",2026-09-05T04:30:00Z,NW/0220
deck-brush-nw-1663,NW-1663,Waxed Canvas Deck Brush,Vellum,Storage,"1.299,00",519.60,,5060001758015,340,g,300mm x 200mm x 100mm,0,Discontinued,yes,1,https://cdn.example-supplier.test/img/nw-1663.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"storage, catalogue",2026-09-06T05:30:00Z,NW/0221
rope-ladder-nw-1666,NW-1666,BRAIDED 9M ROPE LADDER,HARBOURLINE OUTFITTERS,Lighting,"$1,299.00",519.60,,5060001765938,2.5,kg,30 × 20 × 10 cm,14,In Stock,1,N,https://cdn.example-supplier.test/img/nw-1666.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"lighting, catalogue",2026-09-07T06:30:00Z,NW/0222
tote-nw-1669,NW-1669,cylindrical tote,KESTREL & CO.,Workshop,49.99,20.00,,5060001773858,500 g,,1.2 x 0.4 x 0.4 m,3,instock,N,false,https://cdn.example-supplier.test/img/nw-1669.jpg,"<p>A workshop staple &mdash; nothing clever, just well made.</p>","workshop, catalogue",2026-09-08T07:30:00Z,NW/0223
hand-plane-nw-1672,NW-1672,Four Pocket Hand Plane,Marrow Tool Works Ltd,Outdoor,"  18,50  ",7.40,24.05,5060001781778,1.1lb,,12 x 8 x 4 in,0,OUT OF STOCK,false,TRUE,https://cdn.example-supplier.test/img/nw-1672.jpg,<p>Made in small batches and finished by hand. Ships flat.</p>,"outdoor, catalogue",2026-09-01T08:30:00Z,NW/0224
tea-caddy-nw-1675,NW-1675,GRIDDED TEA CADDY,pennyroyal,Hand Tools,USD 45.50,18.20,,5060001789699,12 oz,,300mm x 200mm x 100mm,0,Back-Order,TRUE,yes,//cdn.example-supplier.test/img/nw-1675.jpg,<p>Hard-wearing &amp; simple to clean. Sold singly.</p>,"hand tools, catalogue",2026-09-02T00:30:00Z,NW/0225
ledger-nw-1678,NW-1678,oak handled ledger,salt marsh supply,Kitchen,$7.25,2.90,,5060001797618,"0,75 kg",,30 × 20 × 10 cm,0,Pre-Order,yes,1,https://cdn.example-supplier.test/img/nw-1678.jpg,<p>Designed for daily use.<br>Guaranteed for two years.</p>,"kitchen, catalogue",2026-09-03T01:30:00Z,NW/0226
